,Origin,Destination,Average Flight Time
278,BZN,ORD,225.125
279,SFO,IAH,224.85786802030458
280,DEN,BDL,224.5909090909091
281,ORD,SRQ,224.42424242424244
282,DTW,DEN,223.6
283,DEN,ATL,223.42857142857142
284,CLT,ORD,223.33333333333334
285,SAV,ORD,222.375
286,DEN,RDU,222.175
287,DEN,FLL,221.72
288,MEM,IAH,220.5
289,IAH,ABQ,220.07142857142858
290,BDL,ORD,219.79166666666666
291,ORD,AUS,219.54545454545453
292,IAH,RDU,218.35
293,SRQ,EWR,218.26666666666668
294,MTJ,SWF,218.0
295,IAH,SAN,217.0952380952381
296,EWR,SRQ,217.05882352941177
297,SAT,ORD,216.6875
298,MSP,IAH,216.33333333333334
299,DEN,EWR,215.40689655172415
300,IAD,SJU,215.13793103448276
301,DEN,RSW,215.07692307692307
302,DEN,PIT,214.13513513513513
303,AUS,IAD,214.11111111111111
304,EWR,RSW,212.3673469387755
305,ORD,DFW,212.1829268292683
306,DEN,MEM,212.0
307,SFO,ORD,211.90393013100436
308,PHX,ORD,211.39252336448598
309,IAH,CVG,211.0
310,MIA,ORD,208.93333333333334
311,BOS,ORD,208.56302521008402
312,SLC,IAH,208.5593220338983
313,JAX,IAH,206.6875
314,HNL,DEN,206.47826086956522
315,EWR,PBI,206.01418439716312
316,BNA,IAH,205.16666666666666
317,ORD,JAX,205.1290322580645
318,MSY,DEN,205.09756097560975
319,IAH,IND,205.0
320,TUL,DEN,204.85714285714286
321,HNL,SFO,204.44366197183098
322,LAX,ORD,203.7051282051282
323,GRR,DEN,202.55
324,PBI,IAH,202.11111111111111
325,SJU,EWR,201.38095238095238
326,IAD,ATL,200.8
327,FLL,ORD,200.22972972972974
328,TUS,ORD,200.16666666666666
329,JAX,EWR,200.14285714285714
330,IAH,LAS,199.94405594405595
331,IAH,PIT,199.22222222222223
332,IAH,CLT,198.78571428571428
333,DEN,MCO,197.6043956043956
334,DEN,TPA,197.3684210526316
335,MSY,IAD,196.92857142857142
336,IAH,ELP,196.8
337,IAH,PHX,196.68
338,PBI,EWR,196.16176470588235
339,RSW,ORD,195.93827160493828
340,SLC,ORD,195.88571428571427
341,AUS,ORD,195.8135593220339
342,DEN,BWI,195.14705882352942
343,LAS,ORD,194.896
344,ORD,CHS,194.83333333333334
345,RSW,EWR,194.44565217391303
346,IAH,IAD,193.53086419753086
347,PHL,ORD,193.5142857142857
348,LGA,AEX,193.0
349,BNA,EWR,192.25
350,DCA,DEN,191.67741935483872
351,ICT,LAX,191.0
352,ORD,IAH,189.9
353,DEN,PHL,189.85714285714286
354,ORD,SAV,189.0
355,ATL,LAX,188.8181818181818
356,DEN,MSO,188.2173913043478
357,ORD,MIA,188.19565217391303
358,IAH,LAX,188.17004048582996
359,IAH,EWR,186.41584158415841
360,RDU,ORD,186.11111111111111
361,DEN,CVG,186.02857142857144
362,RIC,IAH,186.0
363,EWR,FLL,185.91071428571428
364,MSY,ORD,185.44444444444446
